key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,討伐經驗值提高,24小時內（地球時間），打倒敵人時獲得的經驗增加5%。
2,採集經驗值提高,24小時內（地球時間），採集時獲得的經驗增加5%。
3,製作經驗值提高,24小時內（地球時間），製作時獲得的經驗增加5%。
4,搭檔經驗值提高,24小時內（地球時間），搭檔獲得的經驗增加10%。
5,對戰戰績提高,24小時內（地球時間），對戰時所獲得的狼印戰績增加5%。
6,軍票提高,24小時內（地球時間），獲得的軍票增加5%。
7,鼓勵新人,24小時內（地球時間），25級以下戰鬥職業的所有狀態參數提高10%。
8,獲得力提高,24小時內（地球時間），大地使者提升5點獲得力。
9,鑑別力提高,24小時內（地球時間），大地使者提升5點鑑別力。
10,作業精度提高,24小時內（地球時間），能工巧匠提升5點作業精度。
11,加工精度提高,24小時內（地球時間），能工巧匠提升5點加工精度。
12,精鍊度增加量提高,24小時內（地球時間），精鍊度增長得更快。
13,食物效果時間延長,24小時內（地球時間），食物的效果時間延長5分鐘。
14,裝備損耗降低,24小時內（地球時間），裝備品耐久度損耗降低10%。
15,城內衝刺時間延長,24小時內（地球時間），城內衝刺效果時間延長25%。
16,傳送優惠,24小時內（地球時間），傳送所需要花費的金幣減少20%。
17,金碟幣提高,24小時內（地球時間），獲得的金碟幣增加5%。
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,討伐經驗值提高II,24小時內（地球時間），打倒敵人時獲得的經驗增加10%。
32,採集經驗值提高II,24小時內（地球時間），採集時獲得的經驗增加10%。
33,製作經驗值提高II,24小時內（地球時間），製作時獲得的經驗增加10%。
34,搭檔經驗值提高II,24小時內（地球時間），搭檔獲得的經驗增加15%。
35,對戰戰績提高II,24小時內（地球時間），對戰時所獲得的狼印戰績增加10%。
36,軍票提高II,24小時內（地球時間），獲得的軍票增加10%。
37,鼓勵新人II,24小時內（地球時間），49級以下戰鬥職業的所有狀態參數提高5%。
38,獲得力提高II,24小時內（地球時間），大地使者提升10點獲得力。
39,鑑別力提高II,24小時內（地球時間），大地使者提升10點鑑別力。
40,作業精度提高II,24小時內（地球時間），能工巧匠提升10點作業精度。
41,加工精度提高II,24小時內（地球時間），能工巧匠提升10點加工精度。
42,精鍊度增加量提高II,24小時內（地球時間），精鍊度增長得更快。
43,食物效果時間延長II,24小時內（地球時間），食物的效果時間延長10分鐘。
44,裝備損耗降低II,24小時內（地球時間），裝備品耐久度損耗降低20%。
45,城內衝刺時間延長II,24小時內（地球時間），城內衝刺效果時間延長50%。
46,傳送優惠II,24小時內（地球時間），傳送所需要花費的金幣減少30%。
47,金碟幣提高II,24小時內（地球時間），獲得的金碟幣增加10%。
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,討伐經驗值提高III,24小時內（地球時間），打倒敵人時獲得的經驗增加15%。
62,採集經驗值提高III,24小時內（地球時間），採集時獲得的經驗增加20%。
63,製作經驗值提高III,24小時內（地球時間），製作時獲得的經驗增加20%。
64,搭檔經驗值提高III,24小時內（地球時間），搭檔獲得的經驗增加20%。
65,對戰戰績提高III,24小時內（地球時間），對戰時所獲得的狼印戰績增加15%。
66,軍票提高III,24小時內（地球時間），獲得的軍票增加15%。
67,,
68,獲得力提高III,24小時內（地球時間），大地使者提升15點獲得力。
69,鑑別力提高III,24小時內（地球時間），大地使者提升15點鑑別力。
70,作業精度提高III,24小時內（地球時間），能工巧匠提升15點作業精度。
71,加工精度提高III,24小時內（地球時間），能工巧匠提升15點加工精度。
72,精鍊度增加量提高III,24小時內（地球時間），精鍊度增長得更快。
73,食物效果時間延長III,24小時內（地球時間），食物的效果時間延長15分鐘。
74,裝備損耗降低III,24小時內（地球時間），裝備品耐久度損耗降低30%。
75,,
76,傳送優惠III,24小時內（地球時間），傳送所需要花費的金幣減少40%。
77,金碟幣提高III,24小時內（地球時間），獲得的金碟幣增加15%。
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
