key,0
#,Name
offset,0
int32,str
0,
1,任務道具
2,任務指令
3,衝刺
4,坐騎
5,傳送
6,返回
7,攻擊
8,射擊
9,先鋒劍
10,鐵壁
11,狂怒劍
12,漸愈
13,警覺
14,閃光
15,暴亂劍
16,盾牌猛擊
17,預警
18,挑釁
19,鋼鐵意志
20,戰逃反應
21,戰女神之怒
22,壁壘
23,厄運流轉
24,投盾
25,盾牌重擊
26,忠義之劍
27,保護
28,鋼鐵信念
29,深奧之靈
30,神聖領域
31,重劈
32,預見
33,碎骨打
34,浴血
35,裂骨斬
36,慈悲殺
37,兇殘裂
38,狂暴
39,殘暴斧
40,戰慄
41,超壓斧
42,暴風斬
43,死鬥
44,復仇
45,暴風碎
46,飛斧
47,寒風斧
48,守護
49,原初之魂
50,解脫
51,鋼鐵旋風
52,戰嚎
53,連擊
54,正拳
55,飄羽步
56,崩拳
57,內丹
58,閃身拳
59,發勁
60,金剛體勢
61,雙掌打
62,破壞神衝
63,紅蓮體勢
64,鐵山靠
65,真言
66,破碎拳
67,空鳴拳
68,秘孔拳
69,震腳
70,地烈勁
71,羅刹衝
72,短勁
73,疾風體勢
74,雙龍腳
75,精準刺
76,虛槍
77,敏銳
78,貫通刺
79,重刺
80,運氣
81,脈衝槍
82,掃堂槍
83,龍劍
84,直刺
85,猛槍
86,死天槍
87,開膛槍
88,櫻花怒放
89,荊棘環刺
90,貫穿尖
91,二重刺
92,跳躍
93,龍槍
94,迴避跳躍
95,破碎衝
96,龍炎衝
97,強力射擊
98,直線射擊
99,鷹眼
100,毒咬箭
101,猛者強擊
102,烈火箭
103,惡終箭
104,靜者強擊
105,敏捷之歌
106,連珠箭
107,紛亂箭
108,定影箭
109,遲鈍箭
110,失血箭
111,廣域群射
112,後躍射擊
113,風蝕箭
114,賢者的敘事謠
115,魔人的安魂曲
116,軍神的讚美歌
117,死亡箭雨
118,戰鬥之聲
119,飛石
120,治療
121,疾風
122,戰姿
123,護盾
124,醫治
125,復活
126,康復
127,堅石
128,沉靜
129,石膚
130,女神的加護
131,癒療
132,烈風
133,醫濟
134,水流環
135,救療
136,神速詠唱
137,再生
138,神封印
139,神聖
140,天賜祝福
141,火炎
142,冰結
143,沉穩詠唱
144,閃雷
145,催眠
146,冰凍
147,烈炎
148,震雷
149,星靈移位
150,即刻詠唱
151,昏沉
152,爆炎
153,暴雷
154,冰封
155,乙太步
156,崩潰
157,魔罩
158,魔泉
159,玄冰
160,萬有復興
161,堅壁
162,核爆
163,毀滅
164,毒菌
165,召喚
166,乙太超流
167,能量吸收
168,瘴氣
169,病毒
170,召喚II
171,維持
172,毀壞
173,復生
174,災禍
175,以眼還眼
176,振奮
177,瘴癘
178,猛毒菌
179,暗影核爆
180,召喚III
181,潰爛爆發
182,三重止步
183,鞭策
184,內力迸發
185,鼓舞激勵之策
186,士氣高揚之策
187,生命淨化法
188,野戰治療陣
189,生命活性法
190,醫術
191,堅石膚
192,
193,
194,
195,
196,反撃効果
197,銅牆鐵盾
198,堅守要塞
