key,0
#,Effect
offset,0
int32,str
0,
1,vfx/guild/gl1_plate/eff/gl1_0001.avfx
2,vfx/guild/gl1_plate/eff/gl1_0002.avfx
3,vfx/guild/gl1_plate/eff/gl1_0003.avfx
4,vfx/guild/gl1_plate/eff/gl1_0004.avfx
5,vfx/guild/gl1_plate/eff/gl1_0005.avfx
6,vfx/guild/gl2_card/eff/gl2_0001.avfx
7,vfx/guild/gl2_card/eff/gl2_0002.avfx
8,vfx/guild/gl2_card/eff/gl2_0003.avfx
9,vfx/guild/gl2_card/eff/gl2_0004.avfx
10,vfx/guild/gl2_card/eff/gl2_0005.avfx
11,vfx/guild/gl2_card/eff/gl2_0006.avfx
12,vfx/guild/gl2_card/eff/gl2_0007.avfx
13,vfx/guild/gl2_card/eff/gl2_0008.avfx
14,vfx/guild/gl2_card/eff/gl2_0009.avfx
15,vfx/guild/gl2_card/eff/gl2_0010.avfx
16,vfx/guild/gl2_card/eff/gl2_0011.avfx
17,vfx/guild/gl2_card/eff/gl2_0012.avfx
18,vfx/guild/gl2_card/eff/gl2_0013.avfx
19,vfx/guild/gl2_card/eff/gl2_0014.avfx
20,vfx/guild/gl2_card/eff/gl2_0015.avfx
21,vfx/guild/gl2_card/eff/gl2_0016.avfx
22,vfx/guild/gl2_card/eff/gl2_0017.avfx
23,vfx/guild/gl2_card/eff/gl2_0018.avfx
24,vfx/guild/gl2_card/eff/gl2_0019.avfx
25,vfx/guild/gl2_card/eff/gl2_0020.avfx
26,vfx/guild/gl2_card/eff/gl2_0021.avfx
27,vfx/guild/gl2_card/eff/gl2_0022.avfx
28,vfx/guild/gl2_card/eff/gl2_0023.avfx
29,vfx/guild/gl2_card/eff/gl2_0024.avfx
30,vfx/guild/gl2_card/eff/gl2_0025.avfx
31,vfx/guild/gl2_card/eff/gl2_0026.avfx
32,vfx/guild/gl2_card/eff/gl2_0027.avfx
33,vfx/guild/gl2_card/eff/gl2_0028.avfx
34,vfx/guild/gl2_card/eff/gl2_0029.avfx
35,vfx/guild/gl2_card/eff/gl2_0030.avfx
36,vfx/guild/gl2_card/eff/gl2_0031.avfx
37,vfx/guild/gl2_card/eff/gl2_0032.avfx
38,vfx/guild/gl2_card/eff/gl2_0033.avfx
39,vfx/guild/gl2_card/eff/gl2_0034.avfx
40,vfx/guild/gl2_card/eff/gl2_0035.avfx
41,vfx/guild/gl2_card/eff/gl2_0036.avfx
42,vfx/guild/gl2_card/eff/gl2_0037.avfx
43,vfx/guild/gl2_card/eff/gl2_0038.avfx
44,vfx/guild/gl2_card/eff/gl2_0039.avfx
45,vfx/guild/gl2_card/eff/gl2_0040.avfx
46,vfx/guild/gl2_card/eff/gl2_0013.avfx
47,vfx/guild/gl2_card/eff/gl2_0021.avfx
48,vfx/guild/gl2_card/eff/gl2_1001.avfx
49,vfx/guild/gl2_card/eff/gl2_1002.avfx
50,vfx/guild/gl2_card/eff/gl2_1003.avfx
51,vfx/guild/gl2_card/eff/gl2_1004.avfx
52,vfx/guild/gl2_card/eff/gl2_0037.avfx
53,vfx/guild/gl2_card/eff/gl2_0025.avfx
